complaint_no,title,complaint_at,bin,owner,disposition,comments,disp_date,disp_code,disp_result,year
1592818,Overview for Complaint #:1592818 = RESOLVED,211 WEST 56 STREET,1024894,"KERN 211, LLC",02/23/2022 - A8 - ECB VIOLATION SERVED,"POPS CLOSED OFF FROM PUBLIC WITH CONSTRUCTION FENCE. NO ACTIVE EXTERIOR WORK, OR ACTIVE EXTERIOR WORK PERMITS, THAT SHOULD WARRANT THIS CLOSURE.",2022-02-23,A8,ECB VIOLATION SERVED,2022
1592820,Overview for Complaint #:1592820 = RESOLVED,330 WEST 56 STREET,1025442,PERLBINDER HOLDINGS LLC,02/22/2022 - A8 - ECB VIOLATION SERVED,AT TIME OF INSPECTION PRIVATELY OWNED PUBLIC SPACE (POPS) NOT COMPLIANT WITH NYC ZONING RESOLUTION. SPIKES AFFIXED TO LEDGES THAT COULD BE USED AS SEATING. ILLUMINATED BUSINESS ACCESSORY SIGN IN POPS.,2022-02-22,A8,ECB VIOLATION SERVED,2022
1592241,Overview for Complaint #:1592241 = RESOLVED,280 PARK AVENUE,1035441,BROADWAY 280 PARK FEE LLC,02/08/2022 - A8 - ECB VIOLATION SERVED,NO TABLES OBSERVED AS REQUIRED IN POPS REPORT M050045 PUBLIC SPACE RECORD 545.  THE REQUIRED AMENITIES STATES 6 TABLES.,2022-02-08,A8,ECB VIOLATION SERVED,2022
1592243,Overview for Complaint #:1592243 = RESOLVED,445 5 AVENUE,1017603,FIFTH AVE CONDO - B.H.S. MGMNT,02/08/2022 - A8 - ECB VIOLATION SERVED,AT TIME OF INSPECTION POPS WAS CLOSED WITH CHAIN AND SIGN STATING PLAZA CLOSED. NO OVERHEAD WORK OR SAFETY ISSUES OBSERVED AT TIME OF INSPECTION THAT WARRANTS THIS CLOSURE.,2022-02-08,A8,ECB VIOLATION SERVED,2022
1591720,Overview for Complaint #:1591720 = RESOLVED,767 5 AVENUE,1036082,767 FIFTH PARTNERS LLC,02/02/2022 - A8 - ECB VIOLATION SERVED,"AT TIME OF INSPECTION POPS HAS 2 OVERHEAD PROTECTION CANOPIES WITH ELECTRIC HEATERS INSTALLED UNDER PERMIT # MOO655412 EXPIRES 7/20/2022 NO APPROVAL FROM CPC ON FILE. OVERHEAD PROTECTION CONTRARY TO ZR 37-625. NO OVERHEAD WORK ONGOING, AND PERSONS ARE STANDING UNDER IT.",2022-02-02,A8,ECB VIOLATION SERVED,2022
1591717,Overview for Complaint #:1591717 = RESOLVED,120 PARK AVENUE,1035334,120 PARK AVENUE ASSOCIATES LLC,02/02/2022 - A8 - ECB VIOLATION SERVED,"AT TIME OF INSPECTION POPS IS CONTRARY TO PLANS Z-5 COVERED PEDESTRIAN SPACE, NO SCULPTURE AS PER PLAN. ALSO SPIKES ON LEDGE PROHIBITING USE AS SEATING CONTRARY TO ZR 37-741.",2022-02-02,A8,ECB VIOLATION SERVED,2022
1589181,Overview for Complaint #:1589181 = RESOLVED,835 AVENUE OF THE AMERICAS,1015146,UNAVAILABLE OWNER,01/25/2022 - A8 - ECB VIOLATION SERVED,AT TIME OF INSPECTION POPS HAS PERMIT FOR CONSTRUCTION FENCE. PERMIT # M00375165 EXPIRES 3/31/2022.  WORK UNDER PERMIT # 140966293 EXPIRED 6/4/2021. VIOLATION # 35644127Z ISSUED FOR ACCESS TO POPS CLOSED OFF FROM PUBLIC,2022-01-25,A8,ECB VIOLATION SERVED,2022
1589058,Overview for Complaint #:1589058 = RESOLVED,1211 AVENUE OF THE AMERICAS,1022678,1211 6TH AVENUE SYNDICATION PA,01/21/2022 - A8 - ECB VIOLATION SERVED,AT TIME OF INSPECTION A 20' HIGH STEEL STRUCTURE IN PLACE APPROX 20' H X 10' W WITH A 10' MOVING CIRCLE ON TOP NOT APPROVED BY CPC CONTRARY TO ZR-37-625 DESIGN CHANGES.,2022-01-21,A8,ECB VIOLATION SERVED,2022
1588828,Overview for Complaint #:1588828 = RESOLVED,61 WEST 62 STREET,1027461,"KENIG,TODD,D",01/21/2022 - A8 - ECB VIOLATION SERVED,"AT TIME OF INSPECTION POPS WAS LOCKED, AND NOT OPEN TO THE PUBLIC.",2022-01-21,A8,ECB VIOLATION SERVED,2022
1590238,Overview for Complaint #:1590238 = RESOLVED,488 3 AVENUE,1018502,"DS & D LAND COMPANY,",01/21/2022 - A8 - ECB VIOLATION SERVED,ENCLOSURE MADE OF METAL PIPING AND CANVAS COVERING WITH TABLES AND CHAIRS ARRANGED IN POPS ALONG THE 33 STREET SIDE. NO CPC CERTIFICATION FOR THESE CHANGES.,2022-01-21,A8,ECB VIOLATION SERVED,2022
